Last Avg Tensiometer,Predicted Avg Tensiometer,Predicted Rain Amount,Predicted Max Temperature,Decision
705,795,-1,25,Single Turn
683,200,0,31,Not Recommended
573,411,19,21,Half Turn
590,555,2,28,Not Recommended
717,665,13,32,Double Turn
587,458,-1,24,Not Recommended
662,440,0,28,Not Recommended
590,485,-6,27,Half Turn
753,860,4,20,Half Turn
523,67,28,27,Single Turn
684,652,2,28,Not Recommended
645,792,1,30,Double Turn
569,313,2,29,Not Recommended
686,557,1,30,Double Turn
685,715,1,31,Double Turn
747,444,27,28,Half Turn
619,763,20,27,Single Turn
242,579,4,25,Double Turn
714,424,19,25,Single Turn
573,408,24,29,Single Turn
595,482,14,22,Single Turn
561,442,13,27,Half Turn
697,716,1,20,Single Turn
762,459,0,24,Single Turn
664,381,0,33,Not Recommended
548,749,2,30,Not Recommended
246,541,3,28,Not Recommended
611,483,13,32,Double Turn
553,431,8,23,Not Recommended
342,549,0,34,Half Turn
578,561,3,27,Double Turn
574,520,1,30,Half Turn
334,600,16,28,Not Recommended
732,369,14,32,Not Recommended
491,423,1,27,Single Turn
576,692,2,24,Half Turn
546,386,12,30,Single Turn
675,447,3,25,Single Turn
545,592,2,24,Half Turn
754,729,3,19,Not Recommended
504,435,23,25,Half Turn
471,220,22,31,Not Recommended
762,229,29,25,Not Recommended
164,528,1,26,Single Turn
613,556,16,28,Half Turn
516,235,14,21,Not Recommended
711,489,8,25,Half Turn
346,793,18,24,Half Turn
527,395,1,28,Not Recommended
659,814,1,34,Single Turn
532,377,23,25,Not Recommended
744,395,1,25,Single Turn
682,380,12,25,Double Turn
346,677,12,24,Single Turn
508,440,12,28,Double Turn
691,259,16,28,Not Recommended
661,524,27,33,Double Turn
342,460,1,31,Double Turn
580,377,1,28,Not Recommended
364,314,10,27,Half Turn
528,432,3,24,Not Recommended
722,558,24,27,Double Turn
707,734,11,29,Not Recommended
558,478,2,33,Not Recommended
368,563,-1,37,Single Turn
659,486,3,21,Double Turn
599,302,1,34,Half Turn
552,353,2,31,Not Recommended
743,235,21,21,Single Turn
665,223,3,27,Half Turn
655,389,1,25,Half Turn
513,378,0,35,Single Turn
713,484,17,29,Half Turn
336,438,0,25,Not Recommended
549,325,3,25,Half Turn
687,520,1,34,Not Recommended
457,416,16,40,Not Recommended
508,463,3,29,Single Turn
774,385,1,26,Half Turn
803,834,23,30,Not Recommended
665,553,12,38,Not Recommended
693,470,23,26,Half Turn
775,607,1,26,Double Turn
739,492,4,26,Half Turn
735,188,2,31,Not Recommended
678,556,1,29,Double Turn
486,382,3,20,Not Recommended
445,547,2,28,Half Turn
637,809,11,31,Single Turn
572,36,21,25,Double Turn
528,480,22,25,Half Turn
571,279,24,27,Half Turn
707,682,0,25,Single Turn
674,443,3,31,Not Recommended
587,180,17,22,Single Turn
518,215,3,26,Single Turn
624,605,27,26,Single Turn
499,385,1,31,Single Turn
460,482,31,25,Half Turn
454,721,1,26,Single Turn
508,558,27,28,Not Recommended
552,504,26,23,Double Turn
689,296,27,24,Not Recommended
558,491,-2,30,Half Turn
562,463,0,33,Not Recommended
684,763,22,28,Single Turn
688,640,1,24,Single Turn
751,570,19,31,Half Turn
609,622,21,21,Double Turn
593,352,1,23,Not Recommended
457,516,-1,29,Half Turn
555,503,25,22,Not Recommended
525,548,18,23,Single Turn
572,419,3,29,Not Recommended
749,465,18,28,Not Recommended
233,500,8,30,Double Turn
509,527,1,20,Double Turn
689,351,0,27,Half Turn
469,524,2,27,Not Recommended
696,669,24,23,Not Recommended
535,797,1,32,Double Turn
570,549,1,28,Single Turn
704,739,3,26,Half Turn
528,429,9,24,Double Turn
441,604,18,27,Single Turn
224,507,1,28,Double Turn
487,262,22,22,Double Turn
744,401,1,20,Not Recommended
555,745,0,20,Half Turn
621,411,22,20,Not Recommended
732,663,6,28,Not Recommended
679,400,16,30,Half Turn
754,494,2,32,Not Recommended
560,492,9,32,Double Turn
631,134,25,21,Not Recommended
558,481,0,31,Single Turn
459,498,0,24,Single Turn
575,423,2,28,Single Turn
652,515,1,27,Half Turn
710,665,1,30,Half Turn
438,362,2,30,Not Recommended
574,281,3,27,Double Turn
719,461,4,22,Half Turn
753,703,-1,34,Not Recommended
328,451,28,27,Not Recommended
636,340,1,28,Single Turn
754,543,4,31,Half Turn
640,461,27,21,Not Recommended
265,262,23,19,Not Recommended
571,637,7,23,Single Turn
539,787,7,32,Not Recommended
746,568,2,25,Double Turn
697,400,3,23,Half Turn
730,459,0,26,Half Turn
642,845,1,27,Single Turn
395,254,3,28,Half Turn
696,400,25,26,Single Turn
604,604,3,28,Single Turn
573,369,22,29,Single Turn
615,514,19,29,Half Turn
475,772,-2,22,Single Turn
447,447,15,27,Half Turn
690,338,3,20,Half Turn
385,482,16,28,Not Recommended
644,445,4,27,Not Recommended
531,399,1,32,Half Turn
759,544,3,28,Double Turn
487,499,15,24,Half Turn
589,411,2,26,Not Recommended
753,766,24,25,Not Recommended
461,583,1,24,Half Turn
556,616,3,32,Half Turn
389,360,2,25,Half Turn
270,430,-2,25,Single Turn
699,629,3,34,Double Turn
609,687,-1,30,Single Turn
487,597,1,27,Half Turn
658,480,0,37,Not Recommended
619,333,16,33,Half Turn
689,450,-4,27,Half Turn
461,438,1,20,Double Turn
390,554,3,30,Double Turn
698,569,24,34,Double Turn
736,586,3,25,Single Turn
727,417,16,33,Not Recommended
635,479,28,23,Not Recommended
610,429,0,27,Double Turn
574,720,2,30,Half Turn
517,441,2,29,Single Turn
653,82,2,23,Single Turn
664,471,23,30,Not Recommended
767,447,3,30,Single Turn
496,306,1,27,Not Recommended
682,873,11,25,Not Recommended
732,857,-3,24,Half Turn
520,805,11,31,Not Recommended
659,412,2,28,Not Recommended
430,510,10,27,Not Recommended
701,318,3,29,Half Turn
689,462,1,22,Single Turn
679,493,29,23,Single Turn
670,836,1,34,Not Recommended
761,504,26,25,Half Turn
673,541,28,24,Not Recommended
328,513,3,30,Half Turn
383,517,17,24,Single Turn
625,549,-1,25,Half Turn
198,514,11,29,Half Turn
610,540,12,27,Not Recommended
681,434,12,22,Half Turn
732,639,3,20,Not Recommended
175,221,1,37,Half Turn
693,657,15,31,Single Turn
583,818,8,29,Single Turn
492,547,9,25,Single Turn
441,379,29,29,Not Recommended
414,653,27,21,Not Recommended
735,682,5,21,Single Turn
602,585,2,20,Single Turn
746,526,0,22,Half Turn
566,768,1,29,Not Recommended
710,589,1,22,Half Turn
671,430,3,23,Double Turn
427,546,0,23,Half Turn
635,725,14,24,Not Recommended
604,686,2,26,Not Recommended
346,442,25,36,Double Turn
344,515,2,29,Not Recommended
371,753,1,25,Half Turn
549,660,8,33,Single Turn
669,505,3,24,Half Turn
447,396,2,33,Single Turn
697,561,0,25,Not Recommended
558,447,30,33,Not Recommended
564,501,2,29,Not Recommended
473,518,14,26,Half Turn
228,726,18,31,Single Turn
714,445,1,26,Double Turn
594,477,1,28,Single Turn
299,473,12,31,Not Recommended
454,459,17,36,Not Recommended
680,504,2,21,Single Turn
505,746,2,25,Single Turn
483,441,2,28,Not Recommended
738,408,0,30,Double Turn
712,730,16,34,Single Turn
748,580,0,27,Not Recommended
757,725,21,28,Not Recommended
511,477,2,29,Double Turn
668,827,17,24,Single Turn
689,427,7,24,Not Recommended
749,492,20,23,Not Recommended
810,527,28,29,Single Turn
514,592,0,32,Single Turn
686,364,0,22,Single Turn
653,305,2,20,Not Recommended
719,534,18,23,Double Turn
365,729,2,30,Half Turn
734,432,2,33,Single Turn
506,802,0,25,Not Recommended
593,482,21,28,Double Turn
510,519,14,27,Half Turn
772,754,14,30,Double Turn
617,264,20,25,Not Recommended
577,515,18,25,Not Recommended
745,810,9,30,Half Turn
706,725,0,25,Single Turn
700,719,23,27,Double Turn
583,436,3,20,Not Recommended
505,288,17,28,Not Recommended
580,624,18,24,Not Recommended
664,252,21,32,Single Turn
686,150,31,36,Half Turn
711,666,9,26,Half Turn
680,542,1,20,Not Recommended
530,606,1,25,Not Recommended
224,603,-1,24,Half Turn
542,493,-2,26,Double Turn
460,464,17,31,Half Turn
631,369,25,26,Not Recommended
461,470,3,22,Single Turn
786,788,10,31,Not Recommended
387,660,-1,30,Half Turn
684,602,1,35,Half Turn
556,499,13,26,Double Turn
650,596,17,23,Not Recommended
524,391,3,28,Not Recommended
421,501,23,28,Not Recommended
436,737,2,31,Double Turn
632,266,24,34,Not Recommended
763,253,2,35,Not Recommended
652,715,2,28,Single Turn
209,500,0,30,Half Turn
705,272,24,28,Half Turn
594,601,5,32,Not Recommended
461,690,9,21,Single Turn
633,486,25,28,Single Turn
736,449,-2,35,Half Turn
719,588,25,29,Not Recommended
802,473,2,32,Not Recommended
641,540,1,29,Not Recommended
699,349,18,27,Half Turn
463,407,10,31,Half Turn
761,703,1,27,Not Recommended
741,560,29,25,Double Turn
760,494,10,26,Single Turn
681,761,-1,32,Double Turn
558,468,27,22,Double Turn
569,815,1,29,Half Turn
591,708,1,30,Not Recommended
336,547,0,30,Half Turn
749,422,21,26,Not Recommended
580,187,0,29,Half Turn
777,455,15,27,Not Recommended
592,572,23,29,Not Recommended
560,286,1,28,Not Recommended
479,380,26,28,Not Recommended
359,313,2,31,Not Recommended
582,560,12,26,Single Turn
641,262,3,25,Half Turn
638,527,19,30,Half Turn
382,581,10,29,Single Turn
430,880,0,28,Not Recommended
600,291,1,27,Not Recommended
402,827,18,25,Not Recommended
729,469,3,32,Not Recommended
644,335,3,29,Single Turn
696,515,25,20,Half Turn
705,679,2,25,Single Turn
560,589,25,31,Half Turn
799,306,25,25,Double Turn
629,787,16,31,Half Turn
313,361,14,25,Double Turn
437,658,2,35,Single Turn
662,253,25,28,Double Turn
609,396,20,30,Single Turn
729,434,-2,29,Not Recommended
549,553,-2,33,Single Turn
337,533,-2,29,Double Turn
190,668,1,28,Double Turn
558,806,1,28,Not Recommended
736,480,27,30,Double Turn
582,604,2,23,Single Turn
779,95,17,26,Not Recommended
676,633,5,29,Single Turn
715,249,2,26,Double Turn
740,634,3,25,Not Recommended
644,524,2,27,Single Turn
791,806,21,22,Double Turn
745,675,24,28,Not Recommended
330,641,0,28,Single Turn
755,853,2,36,Single Turn
733,534,25,25,Not Recommended
516,530,11,31,Single Turn
683,440,2,28,Half Turn
719,698,24,26,Half Turn
533,490,29,26,Not Recommended
754,507,24,27,Not Recommended
278,782,21,27,Single Turn
256,407,-1,21,Not Recommended
764,414,1,27,Single Turn
559,586,26,26,Half Turn
553,679,17,31,Not Recommended
497,173,4,26,Single Turn
575,726,12,39,Single Turn
492,821,3,28,Single Turn
812,325,3,27,Not Recommended
773,509,1,23,Not Recommended
784,506,4,25,Single Turn
649,503,1,26,Single Turn
311,329,3,27,Single Turn
617,342,-1,28,Half Turn
806,327,29,29,Single Turn
756,352,14,25,Not Recommended
235,261,32,32,Not Recommended
248,422,10,26,Single Turn
517,475,12,22,Half Turn
818,438,3,32,Double Turn
697,155,27,27,Not Recommended
599,478,1,23,Half Turn
247,762,0,30,Single Turn
509,530,12,27,Not Recommended
581,670,5,29,Not Recommended
394,519,16,33,Half Turn
686,115,11,24,Not Recommended
528,510,0,25,Double Turn
440,811,16,26,Half Turn
623,427,10,33,Double Turn
792,416,18,25,Not Recommended
691,329,21,22,Not Recommended
614,850,-1,32,Not Recommended
761,484,3,26,Single Turn
648,639,1,27,Single Turn
323,817,-3,20,Not Recommended
742,190,16,31,Not Recommended
542,552,16,22,Half Turn
719,494,15,27,Double Turn
562,412,10,26,Not Recommended
671,359,0,21,Single Turn
594,483,23,36,Not Recommended
623,320,12,27,Single Turn
677,483,1,32,Double Turn
668,538,16,28,Not Recommended
607,394,13,33,Half Turn
438,752,1,27,Not Recommended
720,690,19,28,Double Turn
581,511,1,33,Not Recommended
380,-82,2,31,Double Turn
503,534,12,20,Not Recommended
671,747,1,29,Single Turn
320,527,-2,31,Half Turn
145,401,1,23,Not Recommended
418,397,19,26,Not Recommended
508,702,20,37,Single Turn
701,244,17,29,Single Turn
574,596,21,31,Not Recommended
377,778,22,37,Not Recommended
711,313,17,27,Not Recommended
783,707,23,27,Not Recommended
401,471,0,22,Half Turn
519,568,3,20,Not Recommended
699,206,3,23,Not Recommended
489,693,3,28,Double Turn
634,444,17,29,Double Turn
630,139,2,30,Double Turn
508,321,1,27,Not Recommended
639,506,0,21,Double Turn
648,846,-2,27,Half Turn
610,240,24,24,Single Turn
602,488,3,22,Not Recommended
454,761,10,29,Not Recommended
758,705,19,20,Double Turn
657,501,25,30,Not Recommended
601,200,3,22,Not Recommended
808,523,1,22,Double Turn
494,343,1,21,Half Turn
764,362,2,30,Double Turn
647,624,8,26,Double Turn
501,529,15,25,Double Turn
730,645,-1,28,Not Recommended
378,360,27,30,Half Turn
662,514,3,29,Not Recommended
437,553,11,24,Double Turn
676,579,9,26,Double Turn
612,743,0,37,Single Turn
718,644,3,27,Not Recommended
589,340,3,33,Single Turn
642,844,24,23,Not Recommended
364,723,2,34,Double Turn
585,217,27,26,Not Recommended
788,447,9,28,Not Recommended
691,448,11,31,Half Turn
472,740,21,38,Half Turn
724,727,3,26,Not Recommended
517,182,26,27,Half Turn
725,410,14,29,Not Recommended
620,358,11,25,Not Recommended
694,389,3,22,Single Turn
656,526,0,25,Double Turn
642,528,10,22,Not Recommended
457,323,2,26,Half Turn
379,406,16,22,Not Recommended
789,508,4,29,Not Recommended
661,349,1,25,Single Turn
513,737,3,32,Half Turn
103,276,22,32,Single Turn
432,472,2,31,Not Recommended
407,581,2,28,Single Turn
531,460,1,21,Single Turn
633,788,0,25,Single Turn
641,255,19,25,Half Turn
653,794,1,31,Not Recommended
420,302,25,21,Double Turn
492,333,1,22,Single Turn
375,456,4,27,Not Recommended
738,704,-1,26,Half Turn
771,400,-1,21,Not Recommended
609,798,-7,36,Single Turn
322,549,27,28,Not Recommended
625,322,3,28,Half Turn
435,696,11,30,Single Turn
699,750,25,24,Half Turn
560,689,8,33,Not Recommended
696,492,0,27,Double Turn
586,508,19,27,Single Turn
650,823,0,24,Not Recommended
469,415,0,27,Single Turn
669,493,15,26,Single Turn
723,447,1,23,Not Recommended
442,400,3,27,Not Recommended
680,490,27,22,Half Turn
611,545,9,30,Not Recommended
737,251,1,31,Not Recommended
748,780,-1,28,Not Recommended
450,738,3,29,Half Turn
679,491,9,24,Not Recommended
685,503,0,23,Double Turn
688,383,1,27,Not Recommended
551,592,3,20,Not Recommended
451,581,27,25,Single Turn
457,733,9,33,Not Recommended
610,177,2,26,Half Turn
496,743,1,29,Single Turn
574,792,30,38,Double Turn
508,364,23,22,Single Turn
662,253,0,27,Half Turn
714,388,3,21,Single Turn
790,468,0,35,Single Turn
653,669,3,26,Single Turn
778,517,2,36,Not Recommended
738,295,13,27,Double Turn
748,510,11,30,Not Recommended
432,316,-2,32,Half Turn
763,444,-1,26,Double Turn
592,384,0,25,Double Turn
775,635,18,26,Not Recommended
745,139,2,26,Not Recommended
746,537,2,30,Not Recommended
597,473,23,26,Not Recommended
482,541,15,25,Not Recommended
617,484,-1,28,Not Recommended
260,407,23,26,Half Turn
614,664,1,27,Double Turn
505,838,-1,30,Single Turn
682,709,2,24,Single Turn
641,420,10,25,Single Turn
691,542,2,31,Single Turn
691,498,1,25,Not Recommended
362,549,1,30,Not Recommended
716,427,25,29,Double Turn
515,452,13,32,Not Recommended
733,449,3,31,Not Recommended
623,350,2,26,Half Turn
628,659,13,28,Double Turn
539,416,3,25,Not Recommended
389,507,-1,33,Half Turn
614,715,4,28,Double Turn
542,586,14,30,Not Recommended
620,565,20,28,Not Recommended
496,510,1,30,Half Turn
745,524,13,28,Half Turn
546,520,9,21,Not Recommended
721,530,12,25,Single Turn
646,702,0,31,Not Recommended
607,741,21,24,Double Turn
490,512,26,27,Not Recommended
603,732,0,25,Not Recommended
697,610,15,22,Not Recommended
276,509,6,29,Not Recommended
566,109,29,26,Not Recommended
519,493,-2,36,Single Turn
793,340,2,19,Single Turn
484,545,20,32,Half Turn
742,349,22,36,Half Turn
259,362,-2,35,Single Turn
369,523,2,21,Not Recommended
562,369,22,29,Single Turn
636,448,-1,26,Single Turn
766,518,2,24,Single Turn
663,422,3,31,Single Turn
441,537,1,28,Single Turn
535,165,1,29,Not Recommended
722,885,12,23,Double Turn
724,600,20,25,Not Recommended
718,564,2,28,Not Recommended
500,337,2,31,Half Turn
691,292,1,36,Single Turn
515,395,19,32,Not Recommended
599,298,17,30,Not Recommended
404,763,9,35,Half Turn
759,448,30,24,Not Recommended
727,528,16,23,Double Turn
783,578,30,34,Half Turn
149,622,2,29,Single Turn
727,669,1,27,Half Turn
560,319,27,27,Not Recommended
656,394,3,27,Double Turn
451,457,17,26,Half Turn
753,648,24,25,Not Recommended
285,756,15,23,Not Recommended
298,622,0,32,Half Turn
648,405,16,22,Not Recommended
756,635,1,37,Not Recommended
640,342,-2,30,Not Recommended
527,621,19,38,Half Turn
678,451,0,28,Half Turn
397,348,-1,29,Not Recommended
692,481,-2,23,Single Turn
437,111,8,32,Single Turn
758,556,2,21,Half Turn
605,224,1,28,Single Turn
780,414,31,26,Not Recommended
330,375,19,23,Not Recommended
735,427,-2,25,Single Turn
642,741,16,22,Single Turn
501,653,13,26,Half Turn
298,700,-1,20,Double Turn
670,447,2,29,Double Turn
329,514,0,26,Half Turn
659,487,14,28,Single Turn
759,499,25,20,Not Recommended
720,550,22,27,Double Turn
418,363,14,31,Not Recommended
270,795,3,34,Not Recommended
584,450,-1,29,Half Turn
502,310,1,31,Single Turn
712,479,5,25,Single Turn
757,539,21,22,Half Turn
704,277,-1,31,Half Turn
621,274,2,23,Not Recommended
762,489,17,32,Not Recommended
99,378,24,31,Half Turn
781,404,19,21,Not Recommended
671,635,1,24,Single Turn
632,521,2,25,Single Turn
704,800,-1,26,Not Recommended
538,452,2,35,Half Turn
732,411,0,28,Half Turn
487,690,1,30,Half Turn
549,828,0,26,Not Recommended
625,325,31,22,Single Turn
689,770,0,33,Not Recommended
743,630,7,25,Not Recommended
631,328,24,29,Double Turn
791,319,28,28,Half Turn
595,465,2,29,Half Turn
471,521,1,26,Half Turn
571,271,0,25,Double Turn
63,410,22,29,Half Turn
667,453,1,20,Not Recommended
373,468,0,26,Not Recommended
729,392,2,21,Not Recommended
595,521,15,31,Not Recommended
608,640,0,29,Not Recommended
492,178,27,25,Not Recommended
404,552,0,29,Half Turn
635,288,0,25,Double Turn
637,541,3,31,Not Recommended
702,688,21,33,Not Recommended
495,362,8,24,Half Turn
657,140,2,23,Double Turn
813,496,2,33,Single Turn
513,156,1,27,Not Recommended
612,718,1,26,Not Recommended
718,502,16,31,Not Recommended
792,187,21,24,Single Turn
576,522,1,30,Half Turn
699,251,3,28,Half Turn
454,290,25,32,Single Turn
453,244,2,27,Double Turn
644,395,1,25,Half Turn
718,558,1,28,Single Turn
795,468,0,19,Single Turn
657,307,10,26,Double Turn
598,540,13,21,Half Turn
696,400,3,26,Double Turn
701,648,20,27,Single Turn
730,440,3,20,Single Turn
680,388,2,31,Not Recommended
640,425,2,30,Single Turn
632,456,3,26,Half Turn
246,492,25,26,Not Recommended
451,378,4,25,Half Turn
450,241,3,26,Double Turn
522,236,2,30,Not Recommended
797,643,15,29,Double Turn
555,519,0,21,Single Turn
707,535,20,21,Not Recommended
712,528,1,28,Double Turn
530,351,-2,30,Not Recommended
715,575,3,28,Single Turn
449,782,12,31,Not Recommended
699,391,17,31,Not Recommended
587,472,13,26,Not Recommended
781,201,29,28,Half Turn
597,411,26,30,Half Turn
726,552,3,25,Not Recommended
236,521,22,27,Not Recommended
624,491,0,26,Double Turn
728,309,2,33,Not Recommended
683,353,20,32,Half Turn
726,347,9,28,Double Turn
468,645,15,23,Single Turn
644,466,3,31,Not Recommended
668,661,7,29,Single Turn
663,481,3,29,Double Turn
552,646,0,22,Single Turn
671,414,3,23,Half Turn
549,353,1,27,Half Turn
453,626,-3,37,Single Turn
493,459,27,30,Half Turn
327,424,15,34,Single Turn
684,624,7,18,Not Recommended
334,298,0,26,Double Turn
654,432,24,21,Single Turn
382,539,1,30,Not Recommended
676,236,2,25,Double Turn
711,458,0,28,Not Recommended
406,474,1,28,Double Turn
252,558,16,27,Double Turn
241,378,2,26,Single Turn
438,503,23,30,Not Recommended
499,633,1,31,Not Recommended
588,727,3,29,Half Turn
703,348,1,28,Not Recommended
794,491,3,25,Not Recommended
716,357,2,29,Half Turn
791,277,2,28,Not Recommended
164,536,13,33,Not Recommended
563,486,21,31,Half Turn
464,649,11,31,Double Turn
600,712,14,28,Double Turn
712,419,3,28,Single Turn
723,704,21,29,Single Turn
561,432,1,28,Not Recommended
750,823,11,23,Half Turn
560,349,0,25,Not Recommended
512,525,-2,30,Half Turn
542,691,2,29,Single Turn
711,515,30,28,Single Turn
719,227,28,26,Double Turn
769,339,23,29,Single Turn
708,647,5,27,Single Turn
364,276,2,29,Not Recommended
595,471,3,27,Double Turn
519,460,13,22,Not Recommended
720,383,18,27,Single Turn
543,472,15,19,Not Recommended
521,410,1,33,Double Turn
438,575,4,28,Half Turn
485,392,0,29,Single Turn
631,469,2,26,Double Turn
486,620,28,28,Single Turn
641,365,1,29,Half Turn
609,483,16,21,Half Turn
719,809,9,30,Not Recommended
689,669,10,22,Single Turn
526,551,20,36,Single Turn
486,489,3,20,Half Turn
753,490,22,33,Not Recommended
408,681,15,30,Double Turn
621,481,29,27,Not Recommended
221,534,23,26,Half Turn
402,481,1,26,Not Recommended
728,628,19,31,Not Recommended
519,533,1,29,Single Turn
666,562,25,25,Not Recommended
472,609,2,27,Single Turn
540,292,24,28,Double Turn
510,670,22,31,Not Recommended
713,176,2,23,Half Turn
552,310,23,25,Half Turn
665,758,17,22,Not Recommended
779,363,27,31,Not Recommended
663,415,0,26,Half Turn
646,560,3,26,Not Recommended
577,747,0,29,Not Recommended
513,590,1,32,Half Turn
631,312,23,25,Half Turn
734,416,0,27,Not Recommended
626,372,3,23,Half Turn
517,789,1,25,Single Turn
335,454,7,29,Half Turn
684,467,1,22,Not Recommended
522,434,3,29,Not Recommended
561,641,27,26,Not Recommended
300,511,3,32,Single Turn
664,592,-1,30,Single Turn
408,466,0,30,Half Turn
675,411,30,22,Half Turn
702,502,20,26,Not Recommended
448,471,2,30,Single Turn
141,530,3,34,Single Turn
782,414,0,25,Half Turn
654,363,3,19,Not Recommended
476,530,-1,28,Half Turn
722,58,23,31,Not Recommended
591,187,28,28,Half Turn
301,854,22,36,Not Recommended
571,347,2,35,Not Recommended
635,393,26,31,Not Recommended
365,492,1,34,Half Turn
512,358,24,24,Double Turn
653,742,24,37,Half Turn
472,574,2,35,Half Turn
463,778,1,29,Not Recommended
534,509,13,29,Half Turn
370,522,-1,25,Single Turn
345,796,12,29,Half Turn
689,592,24,28,Double Turn
640,356,12,23,Not Recommended
666,277,1,27,Not Recommended
463,748,0,26,Half Turn
501,776,25,29,Double Turn
809,567,2,28,Half Turn
562,484,12,26,Half Turn
322,512,9,33,Single Turn
697,426,2,28,Not Recommended
556,550,1,24,Half Turn
461,499,2,28,Double Turn
749,502,19,30,Single Turn
633,700,1,31,Double Turn
608,559,22,26,Half Turn
633,494,13,27,Not Recommended
788,704,27,28,Not Recommended
752,407,20,30,Not Recommended
486,766,2,24,Single Turn
735,707,20,37,Not Recommended
613,481,22,28,Half Turn
745,555,26,27,Half Turn
806,437,2,27,Not Recommended
582,415,2,25,Single Turn
592,136,8,32,Single Turn
747,728,5,28,Double Turn
749,523,2,33,Half Turn
609,458,1,28,Not Recommended
574,331,18,28,Not Recommended
613,851,22,32,Not Recommended
635,373,2,23,Not Recommended
54,536,-1,35,Not Recommended
723,680,30,35,Not Recommended
584,460,0,28,Half Turn
687,708,28,27,Double Turn
759,459,4,33,Half Turn
793,597,3,21,Not Recommended
720,391,0,24,Single Turn
460,338,-1,32,Half Turn
592,509,-1,32,Single Turn
722,463,6,25,Double Turn
803,435,4,24,Not Recommended
644,574,0,32,Single Turn
408,315,27,27,Double Turn
704,448,1,30,Double Turn
523,712,0,28,Single Turn
717,397,1,35,Single Turn
544,483,0,33,Half Turn
595,181,1,22,Not Recommended
459,364,10,26,Double Turn
390,345,-1,30,Single Turn
634,636,29,26,Double Turn
291,475,24,28,Double Turn
754,38,2,27,Single Turn
453,61,2,34,Not Recommended
767,440,21,32,Single Turn
515,37,28,23,Not Recommended
127,828,-2,33,Half Turn
485,365,4,22,Not Recommended
521,747,18,28,Half Turn
291,506,0,32,Not Recommended
302,570,0,30,Half Turn
728,887,2,32,Half Turn
498,842,1,32,Not Recommended
491,765,31,26,Not Recommended
577,665,2,36,Half Turn
642,395,3,25,Not Recommended
37,385,1,27,Half Turn
658,529,3,29,Double Turn
756,656,6,24,Single Turn
466,588,3,22,Double Turn
378,590,23,27,Not Recommended
352,679,20,32,Half Turn
822,436,-1,32,Not Recommended
665,279,1,28,Not Recommended
682,605,8,28,Not Recommended
355,300,3,21,Double Turn
278,703,2,28,Not Recommended
808,427,1,24,Not Recommended
631,544,-1,23,Half Turn
735,793,17,29,Half Turn
334,160,19,30,Single Turn
427,552,1,25,Single Turn
617,556,16,35,Half Turn
657,569,2,27,Not Recommended
623,469,17,28,Half Turn
720,488,24,26,Half Turn
609,416,21,26,Double Turn
429,247,1,28,Single Turn
424,489,1,24,Not Recommended
573,797,-1,24,Not Recommended
641,703,3,33,Half Turn
559,592,20,23,Double Turn
403,371,16,33,Half Turn
557,770,2,29,Single Turn
700,817,0,28,Half Turn
516,495,11,31,Single Turn
652,413,0,32,Single Turn
814,541,19,29,Double Turn
605,693,2,23,Single Turn
695,558,11,21,Half Turn
199,486,-1,26,Double Turn
596,248,31,30,Half Turn
748,509,0,27,Double Turn
635,77,1,29,Half Turn
635,469,1,29,Half Turn
763,622,3,31,Single Turn
565,387,22,22,Single Turn
784,496,2,23,Not Recommended
665,454,1,26,Half Turn
493,542,1,33,Single Turn
456,587,2,30,Not Recommended
728,432,0,23,Single Turn
551,508,1,29,Not Recommended
344,684,8,29,Half Turn
380,143,13,28,Single Turn
778,170,28,26,Not Recommended
362,501,2,29,Not Recommended
720,574,1,26,Single Turn
808,677,3,26,Half Turn
696,190,0,27,Half Turn
662,689,10,24,Single Turn
753,623,22,28,Single Turn
454,477,29,25,Single Turn
721,406,-2,24,Not Recommended
762,389,21,26,Not Recommended
706,837,1,35,Not Recommended
387,393,25,33,Not Recommended
488,620,3,30,Not Recommended
625,554,15,26,Single Turn
773,738,2,25,Single Turn
715,485,1,32,Not Recommended
735,304,22,26,Single Turn
506,637,29,27,Not Recommended
524,594,2,27,Half Turn
509,759,1,29,Not Recommended
557,398,22,27,Single Turn
617,460,25,33,Half Turn
591,381,24,26,Single Turn
689,406,12,25,Single Turn
600,499,-1,28,Double Turn
541,772,23,27,Not Recommended
556,357,13,29,Not Recommended
296,389,1,26,Single Turn
614,739,1,27,Half Turn
526,586,20,36,Single Turn
468,356,19,26,Single Turn
714,652,25,37,Half Turn
720,528,17,26,Double Turn
603,570,2,26,Not Recommended
639,314,10,21,Half Turn
677,626,1,32,Single Turn
727,531,26,30,Not Recommended
669,346,4,27,Not Recommended
596,531,24,27,Not Recommended
717,559,18,29,Single Turn
700,485,0,23,Not Recommended
755,333,12,26,Half Turn
444,505,8,27,Not Recommended
581,514,19,22,Half Turn
414,549,4,21,Half Turn
696,629,17,28,Single Turn
539,422,23,20,Not Recommended
710,552,1,32,Single Turn
484,576,2,28,Not Recommended
669,722,3,25,Not Recommended
679,694,3,36,Half Turn
737,582,26,23,Not Recommended
433,222,-1,35,Single Turn
734,747,17,29,Not Recommended
284,769,12,27,Not Recommended
762,539,2,24,Single Turn
493,679,1,28,Single Turn
536,523,24,25,Not Recommended
669,573,3,28,Single Turn
734,156,1,31,Single Turn
469,829,-1,32,Half Turn
568,716,17,30,Not Recommended
